nr|nederlands|frans|engels
|Hoorde je wat ik speelde, Lane?| Avez-vous entendu ce que je jouais, Lane?|Did you hear what I was playing, Lane?
|Ik achtte het ongepast om te luisteren, meneer.| Je ne pensais pas qu'il était respectueux d'écouter, monsieur.|I didn't think it polite to listen, sir.
|Dat is dan jammer, voor jou. Ik speel dan wel niet correct -correct spelen kan iedereen–| Quel dommage pour vous. Je ne joue pas très bien, tout le monde peut jouer bien,|I'm sorry for that, for your sake. I don't play accurately --any one can play accurately --
|maar ik speel met een wonderbaarlijke expressie.| mais je joue d'une façon merveilleusement expressive.|but I play with wonderful expression.
| T.b.d //| T.b.d // <As far as piano is concerned...>|As far as the piano is concerned, sentiment is my forte.
| T.b.d //| T.b.d //|I keep science for Life.
|Zeker, meneer.| Oui, monsieur.|Yes, sir.
| T.b.d //| T.b.d //|And, speaking of the science of Life,
|Lane, staan de komkommersandwiches voor Lady Bracknell klaar?| Lane, avez-vous préparé les sandwiches au concombre pour Lady Bracknell?|have you got the cucumber sandwiches cut for Lady Bracknell?
|Zeker, meneer.| Oui, monsieur.|Yes, sir.
|Oh! ... Nu we het er toch over hebben, Lane, ik zag in je boekje dat donderdagavond,| Dites-moi, Lane, j’ai vu sur le livre de compte que jeudi soir|Oh!... by the way, Lane, I see from your book that on Thursday night,
|toen Lord Shoreman en Mr Worthing hier hebben gedineerd, acht flessen champagne geconsumeerd zijn.| quand Lord Shoreman et Mr Worthing sont venus dîner, huit bouteilles de champagne ont été consommées.|when Lord Shoreman and Mr. Worthing were dining with me, eight bottles of champagne are entered as having been consumed.
|Zeker, meneer; acht flessen en nog een halve.| Oui, monsieur; huit bouteilles et une pinte.|Yes, sir; eight bottles and a pint.
|Hoe komt het dat in een vrijgezellen huishouding het personeel altijd de champagne drinkt?| Mais pourquoi dans la maison d’un célibataire, les domestiques boivent-ils toujours le champagne?|Why is it that at a bachelor's establishment the servants invariably drink the champagne?
|Ik vraag het alleen maar uit belangstelling.| Je demande ça simplement à titre d’information.|I ask merely for information.
|Ik schrijf dat toe aan de superieure kwaliteit van de wijn, meneer. //vloeistof = wine?| Je pense que c’est dû à la qualité supérieure du vin, monsieur.|I attribute it to the superior quality of the wine, sir.
|Ik heb menigmaal gemerkt dat in getrouwde huishoudens de champagne zelden van een beter merk was.| J’ai souvent observé que chez les gens mariés le champagne est rarement de premier ordre.|I have often observed that in married households the champagne is rarely of a first-rate brand.
|Lieve hemel! Haalt het huwelijk een mens zo omlaag?| Bon dieu! Le mariage est-il si austère?|Good heavens! Is marriage so demoralising as that?
|Ik neem aan dat het best een aangename toestand is, meneer.| Je crois que c’est une situation tout à fait plaisante, monsieur.|I believe it IS a very pleasant state, sir.
|Ik heb er tot op heden zelf weinig ervaring mee. Ik ben maar één keer getrouwd geweest.| Je n’ai moi-même qu’une très petite expérience de la question. Je n’ai été marié qu’une fois.|I have had very little experience of it myself up to the present. I have only been married once.
|En dat was het gevolg van een misverstand tussen mij en een zeker jong persoon.| C'était la conséquence d'un malentendu entre une jeune fille et moi-même.|That was in consequence of a misunderstanding between myself and a young person.
|Ik geloof niet dat ik erg geïnteresseerd ben in je gezinsleven, Lane.| Je ne pense pas que votre vie de famille m’intéresse beaucoup, Lane.|I don't know that I am much interested in your family life, Lane.
|Nee, meneer; het is nauwelijks een interessant onderwerp. Ik sta er zelf nooit bij stil.| Bien sûr, monsieur. Ce n’est pas un sujet bien intéressant. Moi-même, je n’y pense jamais.|No, sir; it is not a very interesting subject. I never think of it myself.
|Begrijpelijk. Zo is het goed, Lane, dank je.| C’est tout naturel. Eh bien, ça ira comme ça, Lane, merci.|Very natural, I am sure. That will do, Lane, thank you.
|Dank u meneer.| Merci, monsieur.|Thank you, sir.
|||
|Hij schijnt er nogal lakse ideeen over het huwelijk over na te houden, die Lane.| Les opinions de Lane sur le mariage semblent quelque peu laxistes.|Lanes views on marriage seem somewhat lax.
|Goeie genade, als de lagere standen ons geen voorbeeld meer geven,| Vraiment, si les classes inférieures ne nous donnent pas le bon exemple|Really, if the lower orders don't set us a good example,
|waar zijn ze dan nog goed voor?| à quoi peuvent-elles bien servir?|what on earth is the use of them?
| T.b.d //| Elles semblent n’avoir aucun sens de leur responsabilité morale.|They seem, as a class, to have absolutely no sense of moral responsibility.
|||
|Mr. Ernst Worthing.| Mr. Constant Worthing!|Mr. Ernest Worthing.
|Hoe is het, mijn beste Ernst? Waarom ben je in de stad?| Comment ça va, mon cher Constant? Qu’est-ce qui t’amène en ville?|How are you, my dear Ernest? What brings you up to town?
|O, voor mijn plezier! Waarom ga je anders ergens naartoe? Weer eens aan het eten, zie ik, Algy!| Oh, le plaisir, le plaisir. Quoi d’autre? Encore en train de manger, Algy?|Oh, pleasure, pleasure! What else should bring one anywhere? Eating as usual, I see, Algy!
|Ik houd het in goede kringen voor gepast om tegen het einde van de middag enige lichte versnaperingen tot zich te nemen.| Mais c’est l’habitude dans la bonne société de prendre un petit five o’clock.|I believe it is customary in good society to take some slight refreshment at five o'clock.
|Waar ben je sedert donderdag geweest?| Où étais-tu donc depuis mardi?|Where have you been since last Thursday?
|O! In het platteland!| A la campagne.|In the country.
|Wat doe je daar in ’s hemelsnaam?| Et pour y faire quoi?|What on earth do you do there?
|In de stad amuseer je jezelf. Buiten amuseer je anderen.| Quand on est en ville c’est pour s’amuser. Quand on est à la campagne|When one is in town one amuses oneself. When one is in the country
|Dat is hoogst vervelend.| c’est pour amuser les autres. C’est complètement barbant.|one amuses other people. It is excessively boring.
|En wat zijn dat voor mensen die je amuseert?| Et tu amuses qui?|And who are the people you amuse?
|O, buren, buren.| Oh, des voisins, des voisins.|Oh, neighbours, neighbours.
|Zijn het aardige buren daar in Shropshire?| Et tu as de bons voisins?|Got nice neighbours in your part of Shropshire?
|Volstrekt verschrikkelijk! Ik praat nooit met iemand.| Horribles! Je ne leur parle jamais.|Perfectly horrid! Never speak to one of them.
|Dan zul je ze kostelijk amuseren!| Comme tu dois les amuser.|How immensely you must amuse them!
|Even terzijde, Shropshire is je woonst, toch?| Au fait, le Shropshire, c’est ton coin, n’est-ce pas?|By the way, Shropshire is your county, is it not?
|Eh? Shropshire? Ja, natuurlijk.| Quoi? Le Shropshire? Naturellement.|Eh? Shropshire? Yes, of course.
|Hallo! Waarom die kopjes? Waarom komkommersandwiches?| Mais pourquoi donc ces tasses, ces sandwiches au concombre.|Hallo! Why all these cups? Why cucumber sandwiches?
|Wat een roekeloze geldverspilling voor iemand die nog zo jong is! Wie krijg je op de thee?| Quel gaspillage! Qui vient donc pour le thé?|Why such reckless extravagance in one so young? Who is coming to tea?
|Enkel tante Augusta en| Oh tout simplement Tante Augusta et|Oh! merely Aunt Augusta and
|Gwendolen.| Gwendolen.|Gwendolen.
|Maar dat is geweldig! Volstrekt geweldig!| Charmant.|How perfectly delightful!
|Ik denk niet dat tante Augusta jouw aanwezigheid hier ook zo op prijs zal stellen.| N’est-ce pas? Mais je crains que Tante Augusta n’apprécie pas ta présence.|Yes, that is all very well; but I am afraid Aunt Augusta won't quite approve of your being here.
|Mag ik vragen waarom niet?| Puis-je demander pourquoi?|May I ask why?
|Mijn beste kerel, de manier waarop jij met Gwendolen flirt is werkelijk schandalig.| Mon cher, la manière dont tu flirtes avec Gwendolen est tout à fait choquante.|My dear fellow, the way you flirt with Gwendolen is perfectly disgraceful.
|Bijna net zo erg als de manier waarop Gwendolen flirt met...| Presqu’autant que la manière dont Gwendolen flirte avec...|It is almost as bad as the way Gwendolen flirts with...
|... jou.| ...toi.|...you.
|Ik ben verliefd op Gwendolen. Ik ben speciaal naar de stad gekomen om haar ten huwelijk te vragen.| J’aime Gwendolen. Je suis venu en ville tout exprès pour demander sa main.|I am in love with Gwendolen. I have come up to town expressly to propose to her.
|Ik dacht dat je voor je plezier was gekomen? ... Dat noem ik zaken doen.| Tu disais que c’était pour le plaisir? J’appelle ça une affaire.|I thought you had come up for pleasure?... I call that business.
|Wat ben jij akelig romantisch.| Comme tu es romantique!|How utterly unromantic you are!
|Mij lijkt dat er niets romantisch is aan een aanzoek.| Je ne vois rien de romantique dans une demande en mariage.|I really don't see anything romantic in proposing.
|Het is romantisch om verliefd te zijn.| C’est tout à fait romantique d’être amoureux|It is very romantic to be in love.
|Maar er steekt niets romantisch in een huwelijksaanzoek.| mais il n’y a rien de romantique dans une demande en mariage.|But there is nothing romantic about a definite proposal. 
|Het kan immers geaccepteerd worden. Dat gebeurt meestal, geloof ik.| On peut être accepté, c’est le cas le plus souvent, je crois|Why, one may be accepted. One usually is, I believe.
|En dan is alle opwinding voorbij.| et alors toute l’émotion retombe.|Then the excitement is all over.
|Het ware kenmerk van romantiek is onzekerheid. | L’essence même de l’histoire d’amour c’est l’incertitude.|The very essence of romance is uncertainty.
|Mocht ik ooit nog trouwen, zal ik het feit beslist proberen te vergeten.| Si jamais je me mariais j’essaierais d’oublier ça tout de suite.|If ever I get married, I'll certainly try to forget the fact.
|Daar twijfel ik geen moment aan, Algy.| Je n’en doute pas, mon cher.|I have no doubt about that, dear Algy.
